timestamp,bus_id,bus_name,voltage_pu,freq_hz,load_mw,gen_mw,pkt_loss_pct,gnn_score,status
2026-08-29T22:00:00,1,Bus-01,1.060,50.001,0.0,232.4,0.0,0.000,ENERGIZED
2026-08-29T22:00:00,2,Bus-02,1.045,50.001,21.7,40.0,0.2,0.000,ENERGIZED
2026-08-29T22:00:00,3,Bus-03,1.010,50.001,94.2,0.0,0.1,0.000,ENERGIZED
2026-08-29T22:00:00,4,Bus-04,1.019,50.001,47.8,0.0,0.3,0.000,ENERGIZED
2026-08-29T22:00:00,5,Bus-05,1.020,50.001,7.6,0.0,0.0,0.000,ENERGIZED
2026-08-29T22:00:00,6,Bus-06,1.070,50.001,11.2,0.0,0.0,0.000,ENERGIZED
2026-08-29T22:00:05,4,Bus-04,0.981,50.005,52.1,0.0,3.2,33.14,COMPROMISED
2026-08-29T22:00:05,1,Bus-01,1.061,50.005,0.0,232.6,0.1,0.012,ENERGIZED
2026-08-29T22:00:05,2,Bus-02,1.044,50.005,22.0,40.0,0.4,0.008,ENERGIZED
2026-08-29T22:00:10,4,Bus-04,1.020,50.001,47.8,0.0,0.3,0.000,RESTORED
